id,type,name,description,evidence,confidence
domain.ReplenishmentDraft,DomainConcept,补货草稿,补货预测生成，可调整、确认、提交为采购单。,packages/shared-contracts/src/drafts.ts:L32-L46,0.95
domain.DraftItem,DomainConcept,补货明细,补货草稿中的 SKU 建议数量和原因。,packages/shared-contracts/src/drafts.ts:L20-L28,0.95
domain.AdjustmentInstruction,DomainConcept,调整指令,用户自然语言调整草稿后的结构化指令。,packages/shared-contracts/src/drafts.ts:L50-L74,0.95
domain.PurchaseOrder,DomainConcept,采购单,确认后调用 ERP MCP 创建的采购单。,packages/shared-contracts/src/mcp/createPurchaseOrder.ts:L1-L45,0.95
domain.Strategy,DomainConcept,策略,平台/商家/门店三级合并后的生效策略。,packages/shared-contracts/src/strategies.ts:L14-L33,0.95
domain.AgentSession,DomainConcept,Agent 会话,承载 sessionId、租户上下文和 HITL 挂起状态。,migrations/006-init-agent-session.sql:L8-L29,0.95
domain.ReportView,DomainConcept,报表视图,经营报表的卡片、洞察和 Markdown 输出。,docs/门店助手Agent_V1_本体模型文档.md:L117-L129,0.95
api.health,HealthAPI,健康检查聚合,"GET /health, /health/db, /health/mcp, /health/model, /health/ready",packages/agent-service/src/api/health.ts:L1-L18,0.95
api.health.liveness,HealthAPI,GET /health,liveness，不做 IO。,packages/agent-service/src/api/health.ts:L194-L201,0.95
api.health.db,HealthAPI,GET /health/db,检查 SELECT 1 和表数量 >= 11。,packages/agent-service/src/api/health.ts:L112-L147,0.95
api.health.mcp,HealthAPI,GET /health/mcp,MCP 工具白名单检查。,packages/agent-service/src/api/health.ts:L155-L239,0.95
api.health.model,HealthAPI,GET /health/model,模型 ping。,packages/agent-service/src/api/health.ts:L253-L269,0.95
api.health.ready,HealthAPI,GET /health/ready,readiness = db + mcp，不含 model。,packages/agent-service/src/api/health.ts:L281-L298,0.95
api.chat.completions,HTTPAPI,POST /v1/chat/completions,OpenAI-compatible SSE 桥入口。,packages/agent-service/src/api/chat-completions.ts:L243-L453,0.95
api.mcp_mock.health,HealthAPI,GET mcp-mock /health,返回 mock 状态、协议版本、fixtureProfile、toolCount。,packages/mcp-mock-server/src/app.ts:L128-L137,0.95
rule.R-AI-001,BusinessRule,不能编造业务数据,销售额、库存、SKU、采购数量必须来自 MCP Tool 返回或已保存草稿。,docs/门店助手Agent_V1_本体模型文档.md:L37-L47,0.95
rule.R-AI-002,BusinessRule,创建采购单必须确认,AI 不能绕过确认；采购单创建前必须展示结构化明细并获得明确确认。,docs/门店助手Agent_V1_本体模型文档.md:L41-L43,0.95
rule.R-AI-003,BusinessRule,不能从 Markdown 反解析提单,采购单明细必须来自 ReplenishmentDraft.items / finalSuggestQty，不得从展示文本提取。,docs/门店助手Agent_V1_本体模型文档.md:L1137-L1150,0.95
rule.R-SEC-001,BusinessRule,商家/门店硬隔离,查询、草稿、策略、采购单绑定 merchantId/storeId；DraftManager 所有 SQL 带租户条件。,docs/门店助手Agent_V1_本体模型文档.md:L1154-L1164; packages/agent-service/src/safety/draft-manager.ts:L15-L21,0.95
rule.R-STR-001,BusinessRule,策略合并优先级,EffectiveStrategy 由 Store > Merchant > Platform 合并；合并失败降级并记录原因。,packages/agent-service/src/safety/strategy-engine.ts:L1-L17,0.95
rule.R-STR-002,BusinessRule,禁止自动采购单,StrategySchema 中 allowAutoPurchaseOrder 固定 false。,packages/shared-contracts/src/strategies.ts:L14-L33,0.95
rule.R-STR-003,BusinessRule,写操作必须用户确认,StrategySchema 中 requireUserConfirmForWrite 固定 true。,packages/shared-contracts/src/strategies.ts:L14-L33,0.95
rule.R-SKILL-001,BusinessRule,SkillDef 与 Workflow 严格一致,启动期读取 agent_skill_def enabled/gray 行，与 5 个 workflow id 严格相等，否则启动失败。,packages/agent-service/src/mastra/agents/skill-registry.ts:L8-L23,0.95
rule.R-SKILL-002,BusinessRule,灰度/禁用网关,disabled 或 gray 但 merchantId 不在 GRAY_MERCHANT_WHITELIST 时抛 SKILL_NOT_AVAILABLE。,packages/agent-service/src/mastra/agents/skill-registry.ts:L261-L328,0.95
rule.R-MCP-001,BusinessRule,MCP 工具白名单严格相等,启动期 found.sort 与 7 工具 expected.sort 严格相等，并检查 input/output schema 非空。,packages/agent-service/src/mastra/mcp/client.ts:L36-L55; packages/agent-service/src/mastra/mcp/client.ts:L142-L187,0.95
rule.R-HTTP-001,BusinessRule,Chat Completions 请求不允许工具调用字段,OpenAiRequestSchema 拒绝 tools/tool_choice/functions/function_call/response_format 等字段。,packages/shared-contracts/src/http.ts:L11-L27,0.95
rule.R-OUT-001,BusinessRule,禁止工具调用泄漏给前端,OutputGuard 扫描 tool_calls/function_call/tool_call_id 等禁用 token，命中记录 P0 hash。,packages/agent-service/src/bridge/output-guard.ts:L43-L86,0.95
rule.R-NUM-001,BusinessRule,数字一致性校验,输出数字必须来自允许集/派生值；不用 LLM judge。,packages/agent-service/src/safety/output-validator.ts:L1-L23; packages/agent-service/src/safety/output-validator.ts:L63-L147,0.95
rule.R-DRAFT-001,BusinessRule,草稿 7 状态机,DRAFT→WAIT_CONFIRM/CANCELLED/EXPIRED；WAIT_CONFIRM→CONFIRMED/CANCELLED/EXPIRED；CONFIRMED→SUBMITTED/FAILED/CANCELLED；终态不可再流转。,packages/agent-service/src/safety/draft-manager.ts:L44-L88,0.95
rule.R-DRAFT-002,BusinessRule,草稿 30 分钟过期与 5 分钟兜底,replenishment_draft expires_at 默认 30 分钟，idx_draft_tenant_recent 支持 session 漂移找最近草稿。,migrations/002-init-replenishment.sql:L8-L33,0.95
rule.R-HITL-001,BusinessRule,HITL resume 互斥锁,resume_locked_at 10 秒租约，防止并发确认重复提交。,packages/agent-service/src/safety/confirm-manager.ts:L106-L120,0.95
rule.R-PO-001,BusinessRule,采购单幂等键,createPurchaseOrder 输入要求 idempotencyKey === sourceDraftId；source 固定 AI_REPLENISHMENT_AGENT。,packages/shared-contracts/src/mcp/createPurchaseOrder.ts:L1-L45,0.95
rule.R-OPS-001,BusinessRule,健康检查语义,/health 是 liveness 不做 IO；/health/ready 聚合 db+mcp，不包含 model。,packages/agent-service/src/api/health.ts:L1-L18; packages/agent-service/src/api/health.ts:L281-L298,0.95
rule.R-OPS-002,BusinessRule,优雅停机顺序,停止接收新请求，等待 SSE，abort inflight，释放 MCP，停止 cron，关闭 DB pool。,packages/agent-service/src/server.ts:L325-L395,0.95
rule.R-ENV-001,BusinessRule,生产 CORS/数字校验保护,生产 CORS 不能 *；生产环境不能关闭数字一致性校验。,packages/agent-service/src/config/env.ts:L35-L63,0.95
rule.R-MOCK-001,BusinessRule,Mock 服务生产禁用,mcp-mock-server 在 NODE_ENV=production 时 process.exit(1)。,packages/mcp-mock-server/src/config/env.ts:L69-L72,0.95
